Condominio;CAP;Provincia;Comune;Municipio;Nazione;Tipo intervento;Num. Int. Larvcida;Num. Int. Adulticida;In. Int. Larvicida;Fine Int. Larvicida;In. Int. Adulticida;Fine Int. Adulticida;Freq. Int. Larvicida;Freq. Int. Adulticida;Diflubenzuron;Piriproxyfen;Etocinque;Amplat;Proxilar;Exit 100;Veloxidin;Porter;AcquaPy;Roltab;Cipekill EC;Aqua k-othrine;Sumilarv;Bifemite;Cymina plus;Sandokan ?;Rotryn 200;Diflox;Microsin;Juvenox sc 15;Cyperbase;Permebase;Permex 22 E;Cipex 10 E;Bio Revanol;Rotryn 50;Green larv;Flubex;Garban;Tator;Pertrin S;Vectobac dt;B. Thuringensis;Permaplus;Cipertrin;Solfac;Nexa;K othrine flow 25;Device TB 2;Ekoset;Difenax ?;Olio neem;Piretro;K othrine AL;Metoprene;Delta Super;Cidomax;Decapy flow;Deltrin flow;Skcetal ?;Altogran;Deltabios;Fenthrin;Ciperwall;Aedex;Adicip 10;Zammo ?;Wacip 1000;Zagorp ?;Romal 65;Baycidal;Deadyna;Boxtar;Petrini L;Cipermetrina;Tetrametrina;Pluricid;Murelle;Permetrina;Permesol;Sandokan Bio Tiger;Delta Kill Flow;Tetraprem ABD;Toolex;Crackdown Rapid;Crackdown Ultra
Piazza Remuria 1;;RM;Roma;1;Italia;Larvicida e adulticida;4;4;28/05/2014;30/09/2014;28/05/2014;30/09/2014;mensile;mensile;;;;x;x;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Via Giuseppe Mangili 29;;RM;Roma;2;Italia;Larvicida e adulticida;7;7;01/04/2014;25/10/2014;01/04/2014;25/10/2014;3 settimane;3 settimane;;;;;x;;;;;;;;;;;;;;;x;x;x;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Largo Fontanella Borghese 19;00186;RM;Roma;1;Italia;Larvicida e adulticida;7;7;01/04/2014;25/10/2014;01/04/2014;25/10/2014;3 settimane;3 settimane;;;;;x;;;;;;;;;;;;;;;x;x;x;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Via Alberto Mancini 80;00149;RM;Roma;11;Italia;Larvicida e adulticida;4;4;mag-14;ott-14;giu-14;ott-14;mensile;mensile;;;;;;;;;;;;;;;;;;;;;;;x;x;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Via Giulio Aristide Sartorio 112;00147;RM;Roma;8;Italia;Larvicida e adulticida;4;4;mag-14;ott-14;giu-14;ott-14;mensile;mensile;;;;;;;;;;;;;;;;;;;;;;;x;x;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Via Cassia 240;00191;RM;Roma;15;Italia;Larvicida e adulticida;4;4;mag-14;ott-14;giu-14;ott-14;mensile;mensile;;;;;;;;;;;;;;;;;;;;;;;x;x;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Via Francesco Borgatti 11;00191;RM;Roma;15;Italia;Larvicida e adulticida;4;4;mag-14;ott-14;giu-14;ott-14;mensile;mensile;;;;;;;;;;;;;;;;;;;;;;;x;x;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Viale Schiavonetti 270/e;00173;RM;Roma;7;Italia;Larvicida e adulticida;4;4;mag-14;ott-14;giu-14;ott-14;mensile;mensile;;;;;;;;;;;;;;;;;;;;;;;x;x;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Via della Magliana Antica 15;00146;RM;Roma;11;Italia;Larvicida e adulticida;4;4;mag-14;ott-14;giu-14;ott-14;mensile;mensile;;;;;;;;;;;;;;;;;;;;;;;x;x;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Viale Cesare Pavese 250 - Via Elio Vittorini 150;00144;RM;Roma;9;Italia;Larvicida e adulticida;4;4;mag-14;ott-14;giu-14;ott-14;mensile;mensile;;;;;;;;;;;;;;;;;;;;;;;x;x;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
