LM	Testo a stampa (moderno)	Z4	REBIBBIA NUOVO COMPLESSO	9775	11863
LM	Testo a stampa (moderno)	Z5	REBIBBIA RECLUSIONE 1	146	149
LM	Testo a stampa (moderno)	Z7	REBIBBIA FEMMINILE	9023	9061
LM	Testo a stampa (moderno)	Z8	REBIBBIA TERZA CASA	1	1
LM	Testo a stampa (moderno)	Z9	CASAL DEL MARMO	70	70
LM	Testo a stampa (moderno)	ZZ	COMUNE DI ROMA - CENTRO SISTEMA	1219	1274
LM	Testo a stampa (moderno)	H2	BIBLIOTECA BORGHESIANA	9956	10152
LM	Testo a stampa (moderno)	A5	BIBLIOTECA CASA DELLA MEMORIA	15722	17419
LM	Testo a stampa (moderno)	L3	BIBLIOTECA CASA DEI BIMBI	10302	11264
LM	Testo a stampa (moderno)	O1	BIBLIOTECA SANDRO ONOFRI	30602	31498
LM	Testo a stampa (moderno)	WP	SCAFFALE D'ARTE PALAEXPO	1796	1806
LM	Testo a stampa (moderno)	U2	BIBLIOTECA CASA DEL PARCO	8712	8979
LM	Testo a stampa (moderno)	G2	TEATRO BIBLIOTECA QUARTICCIOLO	19905	20644
LM	Testo a stampa (moderno)	WL	BIBLIOTECA LAURENTINA	3675	3679
LM	Testo a stampa (moderno)	WS	BIBLIOTECA DI STATISTICA	962	1305
LM	Testo a stampa (moderno)	WA	BIBLIOTECA FABRIZIO GIOVENALE	2604	2626
LM	Testo a stampa (moderno)	A6	BIBLIOTECA CASA DELLE TRADUZIONI	1907	2118
LM	Testo a stampa (moderno)	WC	BIBLIOTECA ARGENTINA	2844	2861
LM	Testo a stampa (moderno)	H3	COLLINA DELLA PACE	4215	4444
LM	Testo a stampa (moderno)	E2	BIBLIOTECA ALDO FABRIZI	4819	4911
LM	Testo a stampa (moderno)	WG	B. COSTANZO LICEO GIULIO CESARE	12806	13414
LP	Long playing	B3	BIBLIOTECA FLAMINIA	1	2
LP	Long playing	D1	BIBLIOTECA ENNIO FLAIANO	1	1
LP	Long playing	I1	BIBLIOTECA NELSON MANDELA	1	1
LP	Long playing	N1	BIBLIOTECA PIER PAOLO PASOLINI	1	1
LP	Long playing	Q1	BIBLIOTECA GUGLIELMO MARCONI	1	1
LP	Long playing	T2	BIBLIOTECA CORNELIA	1	1
LP	Long playing	U1	BIBLIOTECA FRANCO BASAGLIA	5	5
LP	Long playing	ZZ	COMUNE DI ROMA - CENTRO SISTEMA	1	1
LP	Long playing	A5	BIBLIOTECA CASA DELLA MEMORIA	473	502
LU	Libretto di musica a stampa	B1	BIBLIOTECA VILLA LEOPARDI	1	1
LU	Libretto di musica a stampa	N1	BIBLIOTECA PIER PAOLO PASOLINI	2	2
LU	Libretto di musica a stampa	Q1	BIBLIOTECA GUGLIELMO MARCONI	2	2
LU	Libretto di musica a stampa	Q2	BIBLIOTECA RENATO NICOLINI	3	3
LU	Libretto di musica a stampa	R3	BIBLIOTECA VILLINO CORSINI - VILLA PAMPHILJ	40	40
LU	Libretto di musica a stampa	S1	BIBLIOTECA GIORDANO BRUNO	1	1
LU	Libretto di musica a stampa	O1	BIBLIOTECA SANDRO ONOFRI	2	2
MG	Materiale grafico	A1	BIBLIOTECA EUROPEA	1	1
MG	Materiale grafico	A2	PIM CENTRALE	1	1
MG	Materiale grafico	A3	BIBLIOTECA ENZO TORTORA	3	3
MG	Materiale grafico	B1	BIBLIOTECA VILLA LEOPARDI	1	1
MG	Materiale grafico	B3	BIBLIOTECA FLAMINIA	2	2
MG	Materiale grafico	BR	BIBLIOTECA CENTRALE PER RAGAZZI	7	8
MG	Materiale grafico	D1	BIBLIOTECA ENNIO FLAIANO	3	3
MG	Materiale grafico	E1	BIBLIOTECA VACCHERIA NARDI	13	13
MG	Materiale grafico	F2	BIBLIOTECA PENAZZATO	2	2
MG	Materiale grafico	H1	BIBLIOTECA RUGANTINO	2	2
MG	Materiale grafico	I1	BIBLIOTECA NELSON MANDELA	3	3
MG	Materiale grafico	L1	BIBLIOTECA RAFFAELLO	2	2
MG	Materiale grafico	N1	BIBLIOTECA PIER PAOLO PASOLINI	2	2
MG	Materiale grafico	O2	BIBLIOTECA ELSA MORANTE	6	6
MG	Materiale grafico	Q1	BIBLIOTECA GUGLIELMO MARCONI	3	4
MG	Materiale grafico	Q2	BIBLIOTECA RENATO NICOLINI	8	8
MG	Materiale grafico	R1	BIBLIOTECA COLLI PORTUENSI	1	1
MG	Materiale grafico	R3	BIBLIOTECA VILLINO CORSINI - VILLA PAMPHILJ	1	1
MG	Materiale grafico	T1	BIBLIOTECA VALLE AURELIA	3	3
MG	Materiale grafico	T2	BIBLIOTECA CORNELIA	3	3
MG	Materiale grafico	U1	BIBLIOTECA FRANCO BASAGLIA	1	1
MG	Materiale grafico	V1	BIBLIOTECA GALLINE BIANCHE	5	5
MG	Materiale grafico	H2	BIBLIOTECA BORGHESIANA	10	10
