NUMERO ESERCIZIO;DATA INIZIO;CODICE_VIA;DESCRIZIONE VIA;CIVICO;ESP CIVICO;SUPERFICIE TOTALE;CODICE MACRO ATTIVITA;DESCRIZIONE ATTIVITA;TIPO ATTIVITA;DESCRIZIONE ATTIVITA;CODICE SPECIALIZZAZIONE;DESCRIZIONE SPECIALIZZAZIONE;SETTORE ALIMENTARE;SETTORE NON ALIMENTARE
6615;20130617;12825;PIAZZA DELLA BALDUINA;32; ;42.0;1;COMMERCIO IN SEDE FISSA;2;ESERCIZIO DI VICINATO;0;; ;NON ALIMENTARE
6616;20130430;94931;VIA ROMEO RODRIGUEZ PEREIRA;172; ;150.0;1;COMMERCIO IN SEDE FISSA;2;ESERCIZIO DI VICINATO;0;; ;NON ALIMENTARE
6617;20130509;103093;VIA SUOR CELESTINA DONATI;133; ;14.5;7;Ex art. 19 del D.P.R. 616/77 (T.U.L.P.S.);16;NOLEGGIO SENZA CONDUCENTE;0;; ; 
6618;20130722;86662;VIA DELLA PINETA SACCHETTI;452; ;55.8;1;COMMERCIO IN SEDE FISSA;2;ESERCIZIO DI VICINATO;0;;ALIMENTARE; 
6619;20130711;10973;VIA DELL'ASSUNZIONE;56;A;0.0;1;COMMERCIO IN SEDE FISSA;2;ESERCIZIO DI VICINATO;0;; ;NON ALIMENTARE
6620;20130722;86662;VIA DELLA PINETA SACCHETTI;452; ;8.0;6;ARTIGIANATO;85;LABORATORI ARTIGIANI;63;CARNE FRESCA; ; 
6621;20130718;59060;VIA IGEA;17;C;10.0;6;ARTIGIANATO;85;LABORATORI ARTIGIANI;22;ALTRO; ; 
6622;20130704;64394;VIA LUCIO APULEIO;7; ;21.9;5;ACCONCIATORI ED ESTETISTI;40;ACCONCIATORI ED ESTETISTI;0;; ; 
6623;20130530;12825;PIAZZA DELLA BALDUINA;30; ;49.0;1;COMMERCIO IN SEDE FISSA;2;ESERCIZIO DI VICINATO;0;; ;NON ALIMENTARE
6625;20130502;98955;VIA DI SELVA CANDIDA;392; ;94.71;1;COMMERCIO IN SEDE FISSA;2;ESERCIZIO DI VICINATO;0;; ;NON ALIMENTARE
6627;20130522;107767;VIA TRIONFALE;8216; ;41.0;1;COMMERCIO IN SEDE FISSA;2;ESERCIZIO DI VICINATO;0;;ALIMENTARE;NON ALIMENTARE
6628;20130611;108559;VIA UGO DE CAROLIS;80;A;75.0;1;COMMERCIO IN SEDE FISSA;2;ESERCIZIO DI VICINATO;0;; ;NON ALIMENTARE
6629;20130613;98973;VIA DI SELVA NERA;323;B;39.0;5;ACCONCIATORI ED ESTETISTI;40;ACCONCIATORI ED ESTETISTI;0;; ; 
6631;20130529;62958;VIA LIDIA BIANCHI;40;B;67.0;6;ARTIGIANATO;85;LABORATORI ARTIGIANI;0;; ; 
6632;20130528;163516;VIA RUGGERO ORLANDO;66; ;78.0;3;PUBBLICI ESERCIZI;20;PUBBLICI ESERCIZI;0;; ; 
