SEDE;MUNICIPIO;MACROSTRUTTURA;SEDE DOTATA DI HOT SPOT DIGITROMA WIFI
VL.DON PASQUINO BORGHI, 165;Municipio IX;Municipio IX; PALLAVICINI G. ELEM. VL.DON PASQUINO BORGHI, 165 - via giorgio lab• 1
V. LAURENTINA, 710;Municipio IX;Municipio IX;GRAMSCI A. ELEM. V. LAURENTINA, 710
PL. MORANTE ELSA, 9;Municipio IX;Municipio IX; IST. ALBERGHIERO SUCC. TOR CARBONE PL. ELSA MORANTE, 9
V. OCEANO INDIANO, 64;Municipio IX;Municipio IX;LIC. ART. STAT. 3ø MARIO MAFAI SUCC. V.CAS. DE MERODE V. OCEANO INDIANO, 6
V. RENZI PAOLO, 47;Municipio IX;Municipio IX;SPINACETO 4ø COMPL. ELEM. SUCC. V. FRIGNANI V. RENZI PAOLO, 47
VL. SABATINI CAMILLO, 111;Municipio IX;Municipio IX;IST. COMPR. RUFINI J. MEDIA VL. SABATINI CAMILLO, 11
V. SANTI SAVARINO, 16;Municipio IX;Municipio IX;SC. ELEM. 192 C.LO V. SANTI SAVARINO, 16
V. DELL'OCEANO PACIFICO 83;Municipio IX;Municipio IX;EUROMA2
V. QUINQUEREMI,19;Municipio X;Municipio X;QUINQUEREMI ELEM. V. QUINQUEREMI, 19
V. RANDE, 22;Municipio X;Municipio X; MARZIO A. LICEO GINNASIO V. RANDE, 22
V. CAPO PALINURO, 74;Municipio X;Municipio X;MARZIO A. LICEO GINNASIOV. CAPO PALINURO, 74
V. OLIVIERI ANGELO 141;Municipio X;Municipio X;TOSCANELLI PAOLO IST.TEC.(LICEO SCIENTIFICO ENRIQUEZ SUCCURSALE)V. OLIVIERI ANGELO, 141
V. PAOLINI FEDERICO 196;Municipio X;Municipio X;ENRIQUES LICEO SCIENT.V. PAOLINI FEDERICO, 196
L. MARIANNE 10;Municipio X;Municipio X;IST. COMPR. SC. EL. ACQUAROSSA SUCC. V. AZZORRE L. MARIANNE, 10
V. AZZORRE 314;Municipio X;Municipio X;IST. COMPR. SC. MED. PARINI V. AZZORRE, 314
V. IDROSCALO 82;Municipio X;Municipio X;ST. COMPR. SC. ELEM. G. AMENDOLA V. IDROSCALO, 82
C. DUCA DI GENOVA 137;Municipio X;Municipio X;GARRONE  G. E. F.LLI ELEM.C. DUCA DI GENOVA, 137
V. CAPO SPERONE 52;Municipio X;Municipio X;FARADAY M.  I.T.I.S.V. CAPO SPERONE, 52
VL. ALESSANDRO RUSPOLI, 80;Municipio X;Municipio X;IST. COMP. SC. ELEM. L. RADICE VL. ALESSANDRO RUSPOLI, 80
V. AMATO ORAZIO, 65;Municipio X;Municipio X;FRANCESCA P. ELEM.SUCC.V. AMATO ORAZIO, 65
V. BESCHI COSTANTINO, 12;Municipio X;Municipio X;CALDERINI M. ELEM. V. BESCHI COSTANTINO, 12
V. CILEA FRANCESCO, 269;Municipio X;Municipio X;IST. COMPR. SC. ELEM. SUCC. W. A. MOZART VIA FRANCESCO CILEA, 269
