INSEGNA;CLASSIFICAZIONE;INDIRIZZO;MUNICIPIO;TIPOLOGIA;SINGOLE;DOPPIE;TRIPLE;QUADRUPLE;QUINTUPLE;SESTUPLE;TOTALE_CAMERE;POSTI_LETTO;UNITA_ABITATIVE;POSTI_LETTO_UNITA_ABITATIVE
2046 CASA E APPARTAMENTO PER VACANZE;Categoria 2;VIA FIDENE, 19;Mun. VII;Casa Vacanze NON impr (Appartamento);1;1;;;;;2;3;0;0
CASA E APPARTAMENTO PER VACANZE ROMA AMOR;Categoria 2;VIA GREGORIO RICCI CURBASTRO, 56;Mun. XI;Casa Vacanze NON impr (Appartamento);;1;;;;;1;2;0;0
Gozy Prati;Categoria 2;VIA GIOVANNI PIERLUIGI DA PALESTRINA, 55;Mun. I;Casa Vacanze NON impr (Appartamento);;;;;;;0;0;1;2
Phanphili Charme;Categoria 1;VIALE DEI QUATTRO VENTI, 166;Mun. XII;Casa Vacanze NON impr (Appartamento);1;1;;;;;2;3;0;0
HOME SWEET HOME NEL CUORE DI ROMA;Categoria 2;VICOLO DELLA MADONNELLA, 2/A;Mun. I;Casa Vacanze NON impr (Appartamento);;2;;;;;2;4;0;0
PALATINO CHARME;Categoria 2;VIA DEGLI ZINGARI, 60;Mun. I;Casa Vacanze NON impr (Appartamento);1;2;;;;;3;5;0;0
UNO SGUARDO DAL PONTE;Categoria 2;VIA DELLA FARNESINA, 15;Mun. XV;Casa Vacanze NON impr (Appartamento);;;1;;;;1;3;0;0
Cozy Borgo;Categoria 2;VIA DEGLI OMBRELLARI, 19;Mun. I;Casa Vacanze NON impr (Appartamento);2;;;;;;2;2;0;0
ROVER RIVER VIEW;Categoria 2;PIAZZA DELLA ROVERE, 92;Mun. I;Casa Vacanze NON impr (Appartamento);;1;;;;;1;2;0;0
COZY LEONE CASA E APPARTAMENTO PER VACANZE;Categoria 2;VIA LEONE IV, 38;Mun. I;Casa Vacanze NON impr (Appartamento);;1;;;;;1;2;0;0
CORSO CHARME;Categoria 1;VIA DEL CORSO, 42;Mun. I;Casa Vacanze NON impr (Appartamento);;1;1;;;;2;5;0;0
CASA E APPARTAMENTO PER VACANZE CASA DELLE CIVETTE;Categoria 2;VIA GIOVAN BATTISTA GANDINO, 2;Mun. XIII;Casa Vacanze NON impr (Appartamento);;1;;;;;1;2;0;0
HOUSE FIORELLA AL PANTHEON;Categoria 2;VIA DELLA SCROFA, 47;Mun. I;Casa Vacanze NON impr (Appartamento);;;;1;;;1;4;0;0
ABBRACCIAROMA;Categoria 2;VIA FEDERICO OZANAM, 10;Mun. XII;Casa Vacanze NON impr (Appartamento);;1;;;;;1;2;0;0
CASA E APPARTAMENTO PER VACANZE GRECI;Categoria 1;VIA DEI GRECI, 15;Mun. I;Casa Vacanze NON impr (Appartamento);;2;;;;;2;4;0;0
Navona Charme;Categoria 2;VIA DEI BANCHI NUOVI, 21;Mun. I;Casa Vacanze NON impr (Appartamento);;1;;;;;1;2;0;0
