Municipio;Codice scuola;Tipo scuola;Natura giuridica;Tipologia;Nome scuola;Indirizzo;Telefono;Orario entrata/uscita;Corsi attivi;Totale capienza;Totale iscritti;Iscritti maschi;Iscritti femmine;Piccoli;Medi;Grandi;Iscritti > 48 mesi;Iscritti <= 48 mesi;Iscritti italiani;Iscritti non italiani
4;3900;NIDO;PRIVATO;Convenzione;LO SCOIATTOLO ALLEGRO;VIA MONTORIO AL VOMANO 7;06/4103309;08:00 / 16:30;2;46;41;21;20;0;24;17;0;41;35;6
4;5582;NIDO;PRIVATO;Aziendale;NANNA BELLA;VIA DI S. ALESSANDRO ;06/41505324;08:00 / 16:30;3;25;26;8;18;9;10;7;0;26;26;0
4;5711;NIDO;PRIVATO;Progetto Finanziato;SETTECAMINI-NIDI NEL VERDE;VIALE ATTILIO BERTOLUCCI 9;345/2998655;07:30 / 16:30;3;69;62;28;34;14;22;26;0;62;58;4
4;5590;NIDO;PRIVATO;Convenzione;TIGRO;PIAZZA PAOLO ROSSI ;06/4110190;08:00 / 16:30;3;10;9;4;5;1;5;3;0;9;9;0
4;3726;NIDO;PRIVATO;Convenzione;WINNI POOH;VIA DEL CASALE DI S. BASILIO 236;06/41229575;08:00 / 16:30;3;14;14;10;4;3;5;6;0;14;13;1
5;6450;NIDO;PRIVATO;Aziendale;ATAC PRENESTINA;VIA PRENESTINA 41;/;08:00 / 16:30;3;10;9;7;2;3;3;3;0;9;6;3
5;5500;NIDO;PRIVATO;Aziendale;BABY BUS;VIA PRENESTINA 607;06/46953535;08:00 / 16:30;3;26;26;19;7;8;10;8;0;26;14;12
5;5002;NIDO;SPAZIO BE.BI PRIVATO;Convenzione;CASETTA DEGLI GNOMI;VIA ARISTIDE STADERINI 30;06/88550482;08:00 / 13:00;2;18;11;6;5;0;6;5;0;11;9;2
5;3325;NIDO;COMUNALE;;FATA PRIMAVERA;VIALE DELLA PRIMAVERA 304;06/24300015;08:00 / 16:30;3;46;46;22;24;12;17;17;0;46;42;4
5;3363;NIDO;COMUNALE;;GHIRIGO';VIA DEI PLATANI 29;06/95950708;08:00 / 16:30;2;52;52;19;33;0;26;26;0;52;42;10
